Name,Joined,Location,Market,Website,Employees,Stage,Total Raised
Rally,Apr '12,San Francisco,Crowdfunding,http://www.rally.org,11-50,Series A,7900000.0
RocketBank,Jul '12,Moscow,Financial Services,https://rocketbank.ru,51-200,Seed,2000000.0
Tesorio,Nov '15,Burlingame,Finance Technology,https://www.tesorio.com/,11-50,Seed,16902965.0
Cheddar,Mar '15,Redwood City,Mobile Payments,https://cheddarcard.com,1-10,Seed,120000.0
Thinknum,Jun '13,New York City,Big Data,http://www.thinknum.com,11-50,Seed,1000000.0
BitPay ,Mar '13,Atlanta,Mobile Payments,https://bitpay.com,11-50,Series A,32700000.0
Next Caller,Apr '14,New York City,Enterprise Security,http://nextcaller.com,11-50,Series A,5000000.0
Second Measure,Dec '15,San Mateo,Market Research,https://secondmeasure.com/,51-200,Series A,25400000.0
Freedom Financial Network,Dec '12,San Mateo,Consumer Lending,https://www.freedomfinancialnetwork.com/,1001-5000,Series A,100500000.0
Ripple,Oct '13,Sydney,Banking,http://ripple.com,201-500,Seed,86500000.0
AutoFi,May '15,San Francisco,B2B,http://www.autofi.com,11-50,Series A,27000000.0
Wefunder,Aug '12,San Francisco,Crowdfunding,http://www.wefunder.com,11-50,Series A,11067000.0
RealCrowd,Apr '13,Palo Alto,Investment Management,http://realcrowd.com,11-50,Seed,3975000.0
CrowdStreet,Feb '13,Portland,Crowdfunding,http://crowdstreet.com,1-10,Series A,4850000.0
Leapfin,Jun '15,San Francisco,Finance Technology,https://leapfin.com,11-50,Seed,4500000.0
SeedInvest,May '12,New York City,Crowdfunding,http://www.seedinvest.com,11-50,Series A,8155000.0
Stilt,Aug '15,Remote,Consumer Lending,https://www.stilt.com/,11-50,,2920000.0
Azimo,Mar '13,Kraków,Mobile Payments,https://azimo.com/en/,51-200,Seed,66000000.0
ProducePay,Apr '15,Los Angeles,Finance Technology,http://www.producepay.com,51-200,Series A,10900000.0
TrueAccord,May '13,San Francisco,Finance Technology,https://www.trueaccord.com,51-200,,11000000.0
Peerform,Nov '15,New York City,Personal Finance,http://www.peerform.com,11-50,,3500000.0
BTCjam,Aug '13,San Francisco,Finance Technology,https://btcjam.com,11-50,Series A,6100000.0
